year,section,org,kind,ref,norma,title,summary
2021,Código De Edificación,Secretaria De Atención Ciudadana Y Gestión Comunal,Ley,6438,Ley N? 6438,Se modifica el Anexo A del Código de Edificación de la Ordenanza N° 34421 – Texto Consolidado por Ley N° 6347,
2021,Código De Edificación,Secretaria De Atención Ciudadana Y Gestión Comunal,Ley,6478,Ley N? 6478,Se crea el Régimen Especial de Regularización de Construcciones y Obras,
2021,Código Fiscal,Subsecretaría De Gestión Urbana,Decreto,69,Decreto N? 69,Se aprueba el texto ordenado del Código Fiscal,
2021,Código Fiscal,Subsecretaría De Gestión Urbana,Ley,6450,Ley N? 6450,Se modifica el el Anexo I del Código Fiscal (t.o. según Decreto N° 69/21),
2021,Código Fiscal,Subsecretaría De Gestión Urbana,Ley,6505,Ley N? 6505,Se aprueba el Código Fiscal,
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6411,Ley N? 6411,"Se aprueba el Convenio Urbanístico celebrado entre el Gobierno de la Ciudad Autónoma de Buenos Aires, Profidu S.A., Mitre Construcciones S.A. y Pedro Lionel Marsiglia",
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6417,Ley N? 6417,"Se afecta el polígono delimitado por las calles José Martí, Echeandia, y Portela al Área Urbanización Parque (UP) y se denomina Plazoleta Antonio Maceo al nuevo espacio verde",
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6441,Ley N? 6441,"Se desafectan y reafectan las parcelas 12, 13, 14, 15, 16, 17, 34, 56 de la Manzana 137A, Sección 38 de la Circunscripción 1 al EE - 91 Estadio del Club Atlético San Lorenzo de Almagro y se aprueba el Convenio celebrado con el Club Atlético San Lorenzo de Almagro",
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6475,Ley N? 6475,Se sustituyen del Anexo II Áreas especiales individualizadas del Código Urbanístico el artículo 5.7.14. U14 Distrito Joven- Costanera Norte y el Plano N° 5.7.14. U14 Distrito Joven- Costanera Norte del Anexo III Atlas del Código Urbanístico,
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6476,Ley N? 6476,Se aprueba el convenio urbanístico y sus adendas suscriptos con la firma IRSA Inversiones y Representaciones SA,
2021,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6477,Ley N? 6477,Se aprueban Convenios Urbanísticos,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Ley,6390,Ley N? 6390,Promoción del desarrollo económico de la actividad audiovisual y artística y se crea el Distrito Audiovisual y de las Artes de la Ciudad Autónoma de Buenos Aires,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Ley,6391,Ley N? 6391,Promoción del desarrollo económico de la actividad de diseño en la Ciudad de Buenos Aires,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Ley,6412,Ley N? 6412,Se corrigen erratas en la Ley N° 6390,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Ley,6447,Ley N? 6447,Se crea el Distrito del Vino de la Ciudad Autónoma de Buenos Aires,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Decreto,105,Decreto N? 105,Se aprueba la reglamentación de la Ley N° 6390 y se designa como Autoridad de Aplicación al Ministerio de Desarrollo Económico y Producción,
2021,Distrito Económicos,Dirección General De Fiscalización Y Control De Obras,Decreto,106,Decreto N? 106,Se aprueba la reglamentación de la Ley N° 6391 y se designa como Autoridad de Aplicación al Ministerio de Desarrollo Económico y Producción,
2021,Espacio Público,Dirección General De Fiscalización Y Control De Obras,Ley,6467,Ley N? 6467,"Se dispone la refuncionalización temporal y voluntaria de terrenos baldíos de propiedad privada en espacios recreativos, de libre acceso y uso público para el disfrute general de toda la ciudadanía",
2021,Hoteles Y Residencias,Secretaría De Transporte Y Obras Públicas,Decreto,145,Decreto N? 145,Se aprueba la reglamentación de la Ley N° 6340,
2021,Ley Tarifaria,Dirección General De Evaluación Ambiental,Ley,6506,Ley N? 6506,"Se determina forma de abonar alícuotas y aforos de impuestos, tasas y demás contribuciones de acuerdo con lo establecido en el Código Fiscal",
2021,Patrimonio,Dirección General De Evaluación Ambiental,Ley,6440,Ley N? 6440,Se promueve la creación de Cuadras Notables,
2021,Protocolos Covid-19,Dirección General De Evaluación Ambiental,Decreto,154,Decreto N? 154,Se establecen medidas en el ámbito de la Ciudad Autónoma de Buenos Aires hasta el día 21 de mayo de 2021 inclusive,
2021,Protocolos Covid-19,Dirección General De Evaluación Ambiental,Decreto,186,Decreto N? 186,"Se establece que las actividades del sector de la construcción de obras privadas estarán autorizadas a partir del 31 de mayo de 2021, y que el ejercicio de las actividades profesionales únicamente podrá desempeñarse de manera remota",
2021,Protocolos Covid-19,Dirección General De Evaluación Ambiental,Decreto,244,Decreto N? 244,Se autorizan actividades en el ámbito de la Ciudad Autónoma de Buenos Aires,
2021,Urbanismo,Subsecretaría De Gestión Urbana,Ley,6466,Ley N? 6466,"Se promueve el desarrollo urbano equitativo y sustentable de la Ciudad Autónoma de Buenos Aires, para facilitar el acceso a la vivienda, la diversificación funcional y la regeneración y renovación de áreas urbanas, a partir del financiamiento de proyectos públicos, privados y públicos privados de construcción, adecuación o puesta en valor de equipamientos urbanos y espacios públicos",
2022,Autorización De Actividad Económica (Habilitaciones),,Ley,6513,Ley N? 6513,"Se modifican la Ordenanza N° 13126, el Código de Habilitaciones y Verificaciones y su Anexo B y las Leyes N° 66, N° 154, N° 451, N° 1799, N° 2247, N° 2696, N° 2939, N° 3281, N° 4287, N° 5008, N° 6101 y se abrogan Ordenanzas",
2022,Autorización De Actividad Económica (Habilitaciones),,Ley,6616,Ley N? 6616,"Se modifican el Anexo B de la Ordenanza N° 34421, los Anexos A de la Leyes N° 451 y N° 2148 y las Leyes N° 139, N° 154, N° 2214, N° 2936, N° 3166, N° 5920 y N° 6101",
2022,Autorización De Actividad Económica (Habilitaciones),,Decreto,11,Decreto N? 11,"Se derogan los Decretos emitidos en fecha 29 de septiembre de 1936 y 23 de septiembre de 1943 y los Decretos 6123/54, N° 4976/57, N° 2271/61, N° 2366/94, N° 1795/00, N° 578/01, N° 718/01, N° 1181/07, N° 271/14 y N°420/17, se modifica el Anexo I del Decreto N° 1706/01 y se sustituye el Anexo I y se suprime Anexo II del Decreto N° 1821/04",
2022,Código De Edificación,,Decreto,403,Decreto N? 403,Se prorroga Régimen Especial de Regularización de Construcciones y Obras,
2022,Código Fiscal,Subsecretaría De Gestión Urbana,Ley,6592,Ley N? 6592,"Se introducen modificaciones al Código Fiscal aprobado por Ley N° 6505, modificado por las Leyes N° 6556 y N° 6561",
2022,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6564,Ley N? 6564,"Se aprueban las normas urbanísticas del Área de Arquitectura Especial AE-31- Lomas de Núñez del Código Urbanístico para el polígono delimitado por el eje de la calle Vedia, vías del FFCC Mitre, eje de la calle Vilela y eje de la calle Cuba hasta su intersección con el eje de la calle Vedia",
2022,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6579,Ley N? 6579,"Se sustituye el Artículo 1.6.89 EE-95 Estadio Diego Armando Maradona de la Asociación Atlética Argentinos Juniors del Anexo II Áreas Especiales Individualizadas, del Código Urbanístico",
2022,Digestos Normativos,Dirección General De Interpretación Urbanística,Ley,6588,Ley N? 6588,"Se aprueba la Cuarta Actualización del Digesto Jurídico de la Ciudad Autónoma de Buenos Aires de normas de alcance general y carácter permanente, consolidadas al 28 de febrero de 2022",
2022,Distritos Económicos,Dirección General Legal Y Técnica,Ley,6545,Ley N? 6545,Se crea el Distrito de Integración Productiva e Impulso al Trabajo en Barrios Populares de la Ciudad Autónoma de Buenos Aires con el objeto de promover el desarrollo económico de los barrios populares de la Ciudad Autónoma de Buenos Aires,
2022,Distritos Económicos,Dirección General Legal Y Técnica,Decreto,302,Decreto N? 302,Se aprueba la reglamentación de la Ley N° 6545,
2022,Ley De Publicidad Exterior,Dirección General De Evaluación Ambiental,Ley,6616,Ley N? 6616,"Se modifican el Anexo B de la Ordenanza N° 34421, los Anexos A de la Leyes N° 451 y N° 2148 y las Leyes N° 139, N° 154, N° 2214, N° 2936, N° 3166, N° 5920 y N° 6101",
2022,Ley Tarifaria,Dirección General De Evaluación Ambiental,Ley,6593,Ley N? 6593,"Se determina, de acuerdo a lo establecido en el Código Fiscal, los impuestos, tasas y demás contribuciones que se abonaran a partir del año 2023",
2022,Reconversión Del Área Céntrica,Ministerio De Desarrollo Económico Y Producción,Ley,6508,Ley N? 6508,Transformación del Área Céntrica de la Ciudad de Buenos Aires,
2022,Reconversión Del Área Céntrica,Ministerio De Desarrollo Económico Y Producción,Ley,6509,Ley N? 6509,Incentivos a la Vivienda en el Área Céntrica de la Ciudad de Buenos Aires,
2022,Reconversión Del Área Céntrica,Ministerio De Desarrollo Económico Y Producción,Decreto,138,Decreto N? 138,Se aprueba la reglamentación de la Ley N° 6508,
2022,Reconversión Del Área Céntrica,Ministerio De Desarrollo Económico Y Producción,Decreto,190,Decreto N? 190,Se aprueba la reglamentación de la Ley N° 6509,
2022,Reconversión Del Área Céntrica,Ministerio De Desarrollo Económico Y Producción,Decreto,240,Decreto N? 240,Se aprueba la reglamentación de la Ley N° 6466,
2022,Sistema De Autoprotección,Unidad De Coordinación Gestión De Políticas Productivas,Ley,6616,Ley N? 6616,"Se modifican el Anexo B de la Ordenanza N° 34421, los Anexos A de la Leyes N° 451 y N° 2148 y las Leyes N° 139, N° 154, N° 2214, N° 2936, N° 3166, N° 5920 y N° 6101",
2022,Unidad Fija,Unidad De Coordinación Gestión De Políticas Productivas,Decreto,64,Decreto N? 64,"Se deroga el Decreto N° 70/14, se prorroga la Resolución N° 98-SSJUS/21 y se determina como se establece el valor de la Unidad Fija para las multas del Régimen de Faltas",
2023,Código Fiscal,Dirección General De Fiscalización Y Control De Obras,Decreto,70,Decreto N? 70,"Se aprueba el texto ordenado del Código Fiscal, su índice y su cuadro de correlación de artículos",
2023,Código Fiscal,Dirección General De Fiscalización Y Control De Obras,Ley,6710,Ley N? 6710,Modifica el Código Fiscal (t.o. 2023),
2023,Código Urbanístico,Subsecretaría De Gestión Urbana,Ley,6628,Ley N? 6628,Se elimina al tramo de Miranda entre Av. Juan B. Justo y Concordia del Cuadro 5.4 del Código Urbanístico,
2023,Derecho Para El Desarrollo Urbano Y El Hábitat Sustentable,Subsecretaría De Gestión Urbana,Ley,6641,Ley N? 6641,Se exime del pago del ochenta por ciento del Derecho para el Desarrollo Urbano y el Hábitat Sustentable a desarrollos inmobiliarios destinados a vivienda individual y/o colectiva localizados (sic),
2023,Impacto Ambiental,Secretaría De Transporte Y Obras Públicas,Decreto,466,Decreto N? 466,Se modifica el Decreto N° 740/07,
2023,Ley Tarifaria,Agencia De Protección Ambiental,Ley,6643,Ley N? 6643,Se sustituye texto del Anexo I de la Ley N° 6593,
2023,Ley Tarifaria,Agencia De Protección Ambiental,Ley,6655,Ley N? 6655,Se sustituyen artículos del Anexo I de la Ley N° 6593 - Ley Tarifaría 2023,
2023,Ley Tarifaria,Agencia De Protección Ambiental,Ley,6711,Ley N? 6711,Ley Tarifaria año 2024,
2024,Código Fiscal,Dirección General De Fiscalización Y Control De Obras,Ley,6700,Ley N? 6700,"Se exime del pago de los Derechos de Delineación y Construcción, Tasa por Servicio de Verificación de Obra y el Derecho para el Desarrollo Urbano y el Hábitat Sustentable a entidades deportivas sin fines de lucro inscriptas en el Registro Único de Instituciones Deportivas (RUID)",
2024,Código Fiscal,Dirección General De Fiscalización Y Control De Obras,Ley,6805,Ley N? 6805,Promulgación Código Fiscal 2025,
2024,Código Fiscal,Dirección General De Fiscalización Y Control De Obras,Decreto,174,Decreto N? 174,"Aprueba el texto ordenado del Código Fiscal, su índice y su cuadro de correlación de artículos",
2024,Código Urbanístico,Subsecretaría De Hacienda,Ley,6776,Ley N? 6776,Modifica el Código Urbanístico – CUR,
2024,Digestos Normativos,Subsecretaría De Hacienda,Ley,6764,Ley N? 6764,Aprueba la quinta actualización del Digesto Jurídico de la Ciudad Autónoma de Buenos Aires,
2024,Distritos Económicos,Agencia Gubernamental De Control,Ley,6692,Ley N? 6692,Modifica la Ley N° 6447,
2024,Ley Tarifaria,Dirección General De Evaluación Ambiental,Ley,6806,Ley N? 6806,Promulgación Ley Tarifaria 2025,
2024,Trámites De Obra,Subsecretaría De Hacienda - Subsecretaría De Gestión Operativa,Decreto de Necesidad y Urgencia,2/AJG/24,Decreto de Necesidad y Urgencia N? 2/AJG/24,Suspensión de trámites del Código Urbanístico – CUR,
2025,Autorización De Actividades Económicas,Comisión Para La Plena Participación E Inclusión De Las Personas Con Discapacidad,Ley,6779,Ley N? 6779,"Modifica las Ordenanzas N° 25060, N° 34421 y N° 48455, los Decretos Ordenanza N° 19184/62 y N° 13.455/62, las Leyes N° 52, N° 139, N° 1264, N° 1897, N° 600, N° 757, N° 1264, N° 1867, N° 2059, N° 2198, N° 2247, N° 3320, N° 4361, N° 4827, N° 5641, N° 5671, N° 5707, N° 5920 N° 6101, deroga las Ordenanzas sin número sancionadas el 21/5/1907, el 28/4/1908, el 16/6/1914, el 30/12/1920, el 27/4/1923, el 27/4/1923, las Ordenanzas N° 4372, N° 12437, N° 27916, N° 31700, N° 32959, N° 33082, N° 33373, N° 39206, N° 43677, N° 43772, N° 44103, N° 46625, N° 48891, N° 49816, N° 51277 y las Leyes N° 246 y N° 1493",
2025,Autorización De Actividades Económicas,Comisión Para La Plena Participación E Inclusión De Las Personas Con Discapacidad,Decreto,152,Decreto N? 152,"Modifica Decretos 1158/02, 1741/07 y 150/15. Deroga artículos del Decreto 1158/02. Deroga Decreto sin número dictado el 22/11/1923, que reglamenta la Ordenanza sin número sancionada el 27/04/1923, y los Decretos 6/05 y 1634/05.",
2025,Código Ambiental,Dirección General De Habilitaciones Y Permisos,Ley,6840,Ley N? 6840,Crea la Mesa de Trabajo para el desarrollo del Código Ambiental de la Ciudad Autónoma de Buenos Aires,
2025,Código Urbanístico,Dirección General De Interpretación Urbanística,Fe de erratas,6776/LCBA/24,Fe de erratas N? 6776/LCBA/24,Modifica el Código Urbanístico – CUR,
2025,Código Urbanístico,Dirección General De Interpretación Urbanística,Decreto,129,Decreto N? 129,Aprueba la reglamentación de la Capacidad Constructiva Adicional y las Áreas de Promoción de Espacios Verdes del Código Urbanístico,
2025,Código Urbanístico,Dirección General De Interpretación Urbanística,Decreto,393,Decreto N? 393,Deroga el artículo 2° del Decreto N° 475/20 e incorpora el artículo 2° al Decreto N° 99/19,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6812,Ley N? 6812,Modifica la Ley 6806 - Ley Tarifaria 2025,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6815,Ley N? 6815,Prorroga por el término de dos años y modifica la Ley N° 6700 y sus modificatorias,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6926,Ley N? 6926,Modifica el Código Fiscal de la Ciudad Autónoma de Buenos Aires,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6927,Ley N? 6927,Ley Impositiva año 2026,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Ley,6928,Ley N? 6928,Ley Arancelaria Ejercicio 2026,
2025,Fiscal E Impositiva,Subsecretaría De Inversiones,Decreto,116,Decreto N? 116,"Aprueba el texto ordenado del Código Fiscal, su índice y su cuadro de correlación de artículos",
2025,Impacto Ambiental,Subsecretaría De Inversiones,Decreto,164,Decreto N? 164,Sustituye el Anexo I del Decreto 85/19,
2025,Impacto Ambiental,Subsecretaría De Inversiones,Decreto,414,Decreto N? 414,Modifica el Anexo I del Decreto N° 85/19,
2025,Ministerios,Dirección General De Evaluación Ambiental,Decreto,265,Decreto N? 265,Modifica la estructura organizativa de la Jefatura de Gabinete y del Ministerio de Infraestructura,
2025,Sistema De Autoprotección,Administración Gubernamental De Ingresos Públicos,Ley,6779,Ley N? 6779,"Modifica las Ordenanzas N° 25060, N° 34421 y N° 48455, los Decretos Ordenanza N° 19184/62 y N° 13.455/62, las Leyes N° 52, N° 139, N° 1264, N° 1897, N° 600, N° 757, N° 1264, N° 1867, N° 2059, N° 2198, N° 2247, N° 3320, N° 4361, N° 4827, N° 5641, N° 5671, N° 5707, N° 5920 N° 6101, deroga las Ordenanzas sin número sancionadas el 21/5/1907, el 28/4/1908, el 16/6/1914, el 30/12/1920, el 27/4/1923, el 27/4/1923, las Ordenanzas N° 4372, N° 12437, N° 27916, N° 31700, N° 32959, N° 33082, N° 33373, N° 39206, N° 43677, N° 43772, N° 44103, N° 46625, N° 48891, N° 49816, N° 51277 y las Leyes N° 246 y N° 1493",
2025,Urbanismo,Dirección General De Defensa Civil,Ley,6769,Ley N? 6769,Abordaje Socio-Urbano del Sector 4 de la Traza de la EX AU3,
2025,Urbanismo,Dirección General De Defensa Civil,Decreto,189,Decreto N? 189,Aprueba la reglamentación de la Ley 6.769,
